#REFERENCE 3 0.0000000 0.0000000
   #ID       X         Y         R       EPS       TAU       AMP       DMAG  TIME[days]  DTIME    PARITY
    S1     0.119     0.357     0.377     0.902     2.095     0.012     -4.82     530.0       0.0    --
    S1    19.270    -0.738    19.284     0.824     1.454     2.220      0.87  -26389.1  -26919.1    ++
    S1    -1.227    12.789    12.848     0.687     0.946     0.623     -0.51   -7678.5   -8208.6    +-
    S1     4.336   -15.895    16.476     0.330     0.349     0.932     -0.08  -16055.7  -16585.7    +-
