#REFERENCE 3 0.000000 0.000000
0 -20.000000 -20.000000 0.2404 0.0000   42.21 0.0 0.0
1 -18.333333 -20.000000 0.2556 0.0000   44.75 0.0 0.0
2 -16.666667 -20.000000 0.2732 0.0000   47.54 0.0 0.0
3 -15.000000 -20.000000 0.2936 0.0000   50.58 0.0 0.0
4 -13.333333 -20.000000 0.3175 0.0000   53.91 0.0 0.0
5 -11.666667 -20.000000 0.3460 0.0000   57.52 0.0 0.0
6 -10.000000 -20.000000 0.3799 0.0000   61.41 0.0 0.0
7 -8.333333 -20.000000 0.4206 0.0000   65.59 0.0 0.0
8 -6.666667 -20.000000 0.4690 0.0000   70.02 0.0 0.0
9 -5.000000 -20.000000 0.5255 0.0000   74.67 0.0 0.0
10 -3.333333 -20.000000 0.5888 0.0000   79.48 0.0 0.0
11 -1.666667 -20.000000 0.6540 0.0000   84.40 0.0 0.0
12 0.000000 -20.000000 0.7122 0.0000   89.36 0.0 0.0
13 1.666667 -20.000000 0.7515 0.0000   94.30 0.0 0.0
14 3.333333 -20.000000 0.7624 0.0000   99.15 0.0 0.0
15 5.000000 -20.000000 0.7422 0.0000  103.89 0.0 0.0
16 6.666667 -20.000000 0.6961 0.0000  108.46 0.0 0.0
17 8.333333 -20.000000 0.6348 0.0000  112.85 0.0 0.0
18 10.000000 -20.000000 0.5695 0.0000  117.02 0.0 0.0
19 11.666667 -20.000000 0.5078 0.0000  120.96 0.0 0.0
20 13.333333 -20.000000 0.4531 0.0000  124.66 0.0 0.0
21 15.000000 -20.000000 0.4064 0.0000  128.11 0.0 0.0
22 16.666667 -20.000000 0.3669 0.0000  131.32 0.0 0.0
23 18.333333 -20.000000 0.3337 0.0000  134.29 0.0 0.0
24 20.000000 -20.000000 0.3057 0.0000  137.03 0.0 0.0
0 -20.000000 -18.333333 0.2461 0.0000   39.88 0.0 0.0
1 -18.333333 -18.333333 0.2621 0.0000   42.40 0.0 0.0
2 -16.666667 -18.333333 0.2806 0.0000   45.19 0.0 0.0
3 -15.000000 -18.333333 0.3022 0.0000   48.26 0.0 0.0
4 -13.333333 -18.333333 0.3279 0.0000   51.64 0.0 0.0
5 -11.666667 -18.333333 0.3585 0.0000   55.36 0.0 0.0
6 -10.000000 -18.333333 0.3955 0.0000   59.41 0.0 0.0
